quantity,underlying,symbol,actype,porc,exchange,actdate
534,AAPL,AAPL,F,P,NSDQ,08/26/2026,
11768,AAPL,AAPL,M,P,NSDQ,08/26/2026,
13664,AAPL,AAPL,C,C,NOBO,08/26/2026,
366,AAPL,AAPL,F,C,NOBO,08/26/2026,
16334,AAPL,AAPL,M,C,NOBO,08/26/2026,
4852,AAPL,AAPL,C,P,NOBO,08/26/2026,
144,AAPL,AAPL,F,P,NOBO,08/26/2026,
6068,AAPL,AAPL,M,P,NOBO,08/26/2026,
11029,AAPL,AAPL,C,C,MPRL,08/26/2026,
582,AAPL,AAPL,F,C,MPRL,08/26/2026,
18245,AAPL,AAPL,M,C,MPRL,08/26/2026,
5931,AAPL,AAPL,C,P,MPRL,08/26/2026,
554,AAPL,AAPL,F,P,MPRL,08/26/2026,
10869,AAPL,AAPL,M,P,MPRL,08/26/2026,
18998,AAPL,AAPL,C,C,EMLD,08/26/2026,
182,AAPL,AAPL,F,C,EMLD,08/26/2026,
18968,AAPL,AAPL,M,C,EMLD,08/26/2026,
9739,AAPL,AAPL,C,P,EMLD,08/26/2026,
205,AAPL,AAPL,F,P,EMLD,08/26/2026,
10492,AAPL,AAPL,M,P,EMLD,08/26/2026,
37294,AAPL,AAPL,C,C,BOX,08/26/2026,
272,AAPL,AAPL,F,C,BOX,08/26/2026,
38878,AAPL,AAPL,M,C,BOX,08/26/2026,
21657,AAPL,AAPL,C,P,BOX,08/26/2026,
858,AAPL,AAPL,F,P,BOX,08/26/2026,
22495,AAPL,AAPL,M,P,BOX,08/26/2026,
117747,AAPL,AAPL,C,C,MIAX,08/26/2026,
213,AAPL,AAPL,F,C,MIAX,08/26/2026,
109976,AAPL,AAPL,M,C,MIAX,08/26/2026,
52663,AAPL,AAPL,C,P,MIAX,08/26/2026,
661,AAPL,AAPL,F,P,MIAX,08/26/2026,
50918,AAPL,AAPL,M,P,MIAX,08/26/2026,
6748,AAPL,AAPL,C,C,GEM,08/26/2026,
344,AAPL,AAPL,F,C,GEM,08/26/2026,
8034,AAPL,AAPL,M,C,GEM,08/26/2026,
3338,AAPL,AAPL,C,P,GEM,08/26/2026,
828,AAPL,AAPL,F,P,GEM,08/26/2026,
4688,AAPL,AAPL,M,P,GEM,08/26/2026,
31221,AAPL,AAPL,C,C,MEMX,08/26/2026,
1826,AAPL,AAPL,F,C,MEMX,08/26/2026,
37547,AAPL,AAPL,M,C,MEMX,08/26/2026,
13501,AAPL,AAPL,C,P,MEMX,08/26/2026,
2038,AAPL,AAPL,F,P,MEMX,08/26/2026,
16475,AAPL,AAPL,M,P,MEMX,08/26/2026,
11265,AAPL,AAPL,C,C,C2,08/26/2026,
391,AAPL,AAPL,F,C,C2,08/26/2026,
16604,AAPL,AAPL,M,C,C2,08/26/2026,
10136,AAPL,AAPL,C,P,C2,08/26/2026,
861,AAPL,AAPL,F,P,C2,08/26/2026,
13333,AAPL,AAPL,M,P,C2,08/26/2026,
51840,AAPL,AAPL,C,C,BATS,08/26/2026,
1541,AAPL,AAPL,F,C,BATS,08/26/2026,
57465,AAPL,AAPL,M,C,BATS,08/26/2026,
35816,AAPL,AAPL,C,P,BATS,08/26/2026,
2884,AAPL,AAPL,F,P,BATS,08/26/2026,
41694,AAPL,AAPL,M,P,BATS,08/26/2026,
41819,AAPL,AAPL,C,C,EDGX,08/26/2026,
894,AAPL,AAPL,F,C,EDGX,08/26/2026,
44259,AAPL,AAPL,M,C,EDGX,08/26/2026,
18564,AAPL,AAPL,C,P,EDGX,08/26/2026,
2134,AAPL,AAPL,F,P,EDGX,08/26/2026,
22250,AAPL,AAPL,M,P,EDGX,08/26/2026,
40267,AAPL,AAPL,C,C,MCRY,08/26/2026,
595,AAPL,AAPL,F,C,MCRY,08/26/2026,
26612,AAPL,AAPL,M,C,MCRY,08/26/2026,
16819,AAPL,AAPL,C,P,MCRY,08/26/2026,
1819,AAPL,AAPL,F,P,MCRY,08/26/2026,
15076,AAPL,AAPL,M,P,MCRY,08/26/2026,
